,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
68,0.7553804397583008,0.026972533556580237,0.0051861763000488285,0.0003983503612909245,0.1,1,6,500,"{'gamma': 0.1, 'learning_rate': 1, 'max_depth': 6, 'n_estimators': 500}",0.8268059718607491,0.8489300345543954,0.8281746965671208,0.8823848295413086,0.8461038698526295,0.8464798804752407,0.020087072681295802,33,-6.766356153240332,-6.32438032250984,-7.095340008853206,-5.580912920557252,-6.8329342055766755,-6.519984722147461,0.530996590738036,33
32,0.6503557205200196,0.03701997559971207,0.004788017272949219,0.0003985647772416745,0.01,1,6,500,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 6, 'n_estimators': 500}",0.8276737614539589,0.855059648961222,0.8349923611687701,0.8730035370784249,0.8414606247221685,0.846437986676909,0.016049511844282893,34,-6.7493834344368535,-6.194746917201761,-6.953151254287081,-5.799217371815125,-6.935247437483858,-6.526349283044935,0.45558375770177745,34
31,0.2724329948425293,0.012711390626526486,0.004787445068359375,0.00039899381623883243,0.01,1,6,200,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 6, 'n_estimators': 200}",0.8276737813782971,0.855059648961222,0.8349923190817863,0.8730035340647802,0.8414606247221685,0.8464379816416507,0.016049512190573538,35,-6.749383044255406,-6.194746917201761,-6.9531521410252575,-5.799217440623266,-6.935247437483858,-6.52634939611791,0.45558386367817616,35
30,0.14459919929504395,0.007773037204875675,0.005385637283325195,0.0013531058661464476,0.01,1,6,100,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 6, 'n_estimators': 100}",0.8276737989215813,0.855059648850685,0.8349922986615588,0.8730035241514305,0.8414606177690059,0.8464379776708523,0.01604950813860536,36,-6.749382700702495,-6.194746919563937,-6.953152571262636,-5.799217666966846,-6.935247589565646,-6.526349489612312,0.4555838653568105,36
71,1.2203369140625,0.09515352009514709,0.0065822601318359375,0.0027199600919594617,0.1,1,9,500,"{'gamma': 0.1, 'learning_rate': 1, 'max_depth': 9, 'n_estimators': 500}",0.7824777494229704,0.8304827000459042,0.8402615556927507,0.8582680098829572,0.845170546721102,0.8313321123531369,0.02601634132013543,37,-7.5829857693003735,-6.699400279009645,-6.841232924953762,-6.1264305930329295,-6.8536224961383825,-6.820734412487019,0.4646092361713551,37
70,0.4911505699157715,0.04464654471873791,0.0049874305725097655,0.000630751595468819,0.1,1,9,200,"{'gamma': 0.1, 'learning_rate': 1, 'max_depth': 9, 'n_estimators': 200}",0.7824777494229704,0.8304827025175099,0.8402615165585972,0.8582680367257749,0.845170546721102,0.8313321103891909,0.026016344175962568,38,-7.5829857693003735,-6.699400230170159,-6.841233762966943,-6.1264300128863205,-6.8536224961383825,-6.820734454292436,0.4646094195092339,38
69,0.2654902935028076,0.005179085277800403,0.004799175262451172,0.00040567228872100683,0.1,1,9,100,"{'gamma': 0.1, 'learning_rate': 1, 'max_depth': 9, 'n_estimators': 100}",0.7824777494229704,0.8304827036426197,0.8402614905558078,0.8582680522033467,0.845170546721102,0.8313321085091694,0.026016345588597885,39,-7.5829857693003735,-6.699400207937737,-6.841234319786907,-6.126429678373692,-6.8536224961383825,-6.820734494307419,0.46460952556208185,39
33,0.22001180648803711,0.022064734126888835,0.004786920547485351,0.0003990900951623661,0.01,1,9,100,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 9, 'n_estimators': 100}",0.7840243786443376,0.8278921138245672,0.8387774769692675,0.8570467677497589,0.8395260618389683,0.8294533598053798,0.024560229915337576,40,-7.555979361794636,-6.750396752921336,-6.872939303725428,-6.152768356519488,-6.977432513398051,-6.861903257671787,0.44955899505837,40
34,0.42626028060913085,0.04135513044818822,0.004986429214477539,1.2759292755374576e-06,0.01,1,9,200,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 9, 'n_estimators': 200}",0.7840243786443376,0.8278921161223851,0.83877745769496,0.857046771160082,0.8395260618389683,0.8294533570921466,0.024560229188953918,41,-7.555979361794636,-6.750396707858957,-6.8729397145586635,-6.152768283128604,-6.977432513398051,-6.861903316147783,0.44955902246426704,41
35,1.047600221633911,0.1044033927514508,0.004996252059936523,1.9954025609276475e-05,0.01,1,9,500,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 9, 'n_estimators': 500}",0.7840243786443376,0.8278921208404771,0.8387774171020479,0.8570467813910414,0.8395260618389683,0.8294533519633743,0.024560228345716216,42,-7.555979361794636,-6.750396615332709,-6.872940579799392,-6.1527680629561585,-6.977432513398051,-6.861903426656189,0.44955910076267597,42
